algorithm,timestamp,python_version,numpy_version,scikit_learn_version,seed,grid_size,k_predict,dataset,s_norm,real_error,baseline_mean,baseline_std,baseline_median,baseline_ci_lower,baseline_ci_upper,ratio,gated,runtime_ms
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,20,5_pink_noise,0.7203920825983027,0.23860077424879855,0.22526620788066357,0.012317625580121573,0.22493985276413436,0.20086374725627615,0.2473518584366423,1.0591947034292826,0,268.8106000023254
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,121,20,20,6_white_noise,2.331509517880563,1.2425797454503793,1.085699558954631,0.06541881919113991,1.0823068401264273,0.9607382149885564,1.2194047611918462,1.1444968685874763,0,256.1581000009028
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,10,1_ideal_coherent,0.8715446568789308,0.3264961423712438,0.5158602824214872,0.026982399385806263,0.518070533027277,0.4581897580672781,0.5618915877259303,0.6329158368980187,0,226.52540000126464
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,10,2_phase_noise_0.8,2.374848311009604,1.407188896659124,1.2434272432206932,0.06247542676973455,1.2321002511821375,1.1420471421160128,1.3799041815155944,1.1317018380699617,0,225.4983999991964
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,10,3_thermal_source,2.4879737408878615,1.4320621519878158,1.2967494186116275,0.07911612525594758,1.2978545849717888,1.1430389077106935,1.4318965094754001,1.104347633732554,0,325.84899999710615
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,10,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.30900000274414197
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,10,5_pink_noise,0.7824041630973649,0.3169878083360045,0.29570758273336883,0.019633162579887464,0.2947666801658405,0.25872130638702795,0.33129563229010267,1.0719637467728498,0,213.02540000033332
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,10,6_white_noise,2.108069551460666,1.0429851654631328,0.9678353630577443,0.05598230688474353,0.9765966595812517,0.8624337291411514,1.0722301800685,1.0776472996067874,0,204.23789999767905
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,15,1_ideal_coherent,0.8715446568789308,0.3763793372359239,0.5121067392715782,0.028352765863394913,0.5176940282547962,0.4587493567039294,0.5651837979806325,0.7349626715932048,0,202.62109999748645
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,15,2_phase_noise_0.8,2.374848311009604,1.396569756741573,1.25170872051217,0.06593360709594483,1.2438891686544133,1.135541075916593,1.3776347495732588,1.1157306279452373,0,209.70080000188318
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,15,3_thermal_source,2.4879737408878615,1.387584039905206,1.2910513611600183,0.06641262625340776,1.288531365961082,1.1636773107210112,1.4249267457936217,1.074770595229033,0,213.1799000017054
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,15,4_pure_gaussian,0.1052717434557998,,,,,,,,1,0.3147000024910085
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,15,5_pink_noise,0.7824041630973649,0.32108033040977574,0.2915363025979637,0.019216020259055448,0.2902233363950664,0.2552033298690636,0.3339543439038823,1.101339104422114,0,192.8693999980169
TRACEBIND-W11-C1,2026-07-16T14:33:20.460328,3.14.4,2.5.1,1.9.0,122,20,15,6_white_noise,2.108069551460666,1.032854392539491,0.9544068861644557,0.05336631417157367,0.9571086927825709,0.8683004010747427,1.0684039486491328,1.0821950339129447,0,190.50699999934295
